id,hotelId,receiptId,bookingType,bookingId,type,planId,facilityTypeId,paymentRoomBookingItemId,amount,paymentMethodId,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId,paymentMethod
201237,3,64184,'room_booking_item',69668,'receipt',None,None,None,7890,None,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23064957,None
201238,3,64184,'room_booking_item',69668,'payment',None,None,None,7890,27,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23064958,'{'id': 27, 'name': '事前入金分', 'hotelId': 3}'
201239,3,64185,'room_booking_item',69669,'receipt',None,None,None,7900,None,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23066513,None
201240,3,64185,'room_booking_item',69669,'payment',None,None,None,7900,27,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23066514,'{'id': 27, 'name': '事前入金分', 'hotelId': 3}'
201241,3,64186,'room_booking_item',69670,'receipt',None,None,None,8300,None,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23070459,None
201242,3,64186,'room_booking_item',69670,'payment',None,None,None,8300,27,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23070460,'{'id': 27, 'name': '事前入金分', 'hotelId': 3}'
201243,3,64187,'room_booking_item',69671,'receipt',None,None,None,8600,None,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23071152,None
201244,3,64187,'room_booking_item',69671,'payment',None,None,None,8600,27,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23071153,'{'id': 27, 'name': '事前入金分', 'hotelId': 3}'
201245,3,64188,'room_booking_item',69672,'receipt',None,None,None,6400,None,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23072490,None
201246,3,64188,'room_booking_item',69672,'payment',None,None,None,5760,27,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23072491,'{'id': 27, 'name': '事前入金分', 'hotelId': 3}'
201247,3,64188,'room_booking_item',69672,'payment',None,None,None,640,26,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23072492,'{'id': 26, 'name': '事前入金分（ポイント)', 'hotelId': 3}'
201248,3,64189,'room_booking_item',69673,'receipt',None,None,None,5561,None,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23073630,None
201249,3,64189,'room_booking_item',69673,'receipt',None,None,None,5561,None,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23073631,None
201250,3,64189,'room_booking_item',69673,'receipt',None,None,None,5561,None,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23073632,None
201251,3,64189,'room_booking_item',69673,'receipt',None,None,None,6764,None,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23073633,None
201252,3,64189,'room_booking_item',69673,'receipt',None,None,None,5561,None,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23073634,None
201253,3,64189,'room_booking_item',69673,'payment',None,None,None,29008,27,'2023-02-28 10:15:04.729704+09:00','2023-02-28 10:15:04.729704+09:00',None,None,None,None,23073635,'{'id': 27, 'name': '事前入金分', 'hotelId': 3}'
201254,3,64190,'room_booking_item',69674,'receipt',None,None,None,5561,None,'2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,23074014,None
201255,3,64190,'room_booking_item',69674,'receipt',None,None,None,5561,None,'2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,23074015,None
