id,hotelId,bookingType,bookingId,otherTaxPercentage,roomBookingReceiptId,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId
64217,3,'room_booking',64212,None,None,'2023-02-28 10:15:15.948732+09:00','2023-02-28 10:15:15.948732+09:00',None,None,None,None,5914730
64218,3,'room_booking',64213,None,None,'2023-02-28 10:15:15.948732+09:00','2023-02-28 10:15:15.948732+09:00',None,None,None,None,5914737
64219,3,'room_booking',64214,None,None,'2023-02-28 10:15:15.948732+09:00','2023-02-28 10:15:15.948732+09:00',None,None,None,None,5914843
64220,3,'room_booking',64215,None,None,'2023-02-28 10:15:21.442332+09:00','2023-02-28 10:15:21.442332+09:00',None,None,None,None,5914850
64221,3,'room_booking',64216,None,None,'2023-02-28 10:15:21.442332+09:00','2023-02-28 10:15:21.442332+09:00',None,None,None,None,5914856
64222,3,'room_booking',64217,None,None,'2023-02-28 10:15:21.442332+09:00','2023-02-28 10:15:21.442332+09:00',None,None,None,None,5914947
64223,3,'room_booking',64218,None,None,'2023-02-28 10:15:21.442332+09:00','2023-02-28 10:15:21.442332+09:00',None,None,None,None,5915793
64224,3,'room_booking',64219,None,None,'2023-02-28 10:15:21.442332+09:00','2023-02-28 10:15:21.442332+09:00',None,None,None,None,5916063
64225,3,'room_booking',64220,None,None,'2023-02-28 10:15:21.442332+09:00','2023-02-28 10:15:21.442332+09:00',None,None,None,None,5916347
64226,3,'room_booking',64221,None,None,'2023-02-28 10:15:21.442332+09:00','2023-02-28 10:15:21.442332+09:00',None,None,None,None,5916624
64227,3,'room_booking',64222,None,None,'2023-02-28 10:15:21.442332+09:00','2023-02-28 10:15:21.442332+09:00',None,None,None,None,5916626
64228,3,'room_booking',64223,None,None,'2023-02-28 10:15:21.442332+09:00','2023-02-28 10:15:21.442332+09:00',None,None,None,None,5917160
64229,3,'room_booking',64224,None,None,'2023-02-28 10:15:21.442332+09:00','2023-02-28 10:15:21.442332+09:00',None,None,None,None,5917380
64230,3,'room_booking',64225,None,None,'2023-02-28 10:15:21.442332+09:00','2023-02-28 10:15:21.442332+09:00',None,None,None,None,5917657
64231,3,'room_booking',64226,None,None,'2023-02-28 10:15:21.442332+09:00','2023-02-28 10:15:21.442332+09:00',None,None,None,None,5917848
64232,3,'room_booking',64227,None,None,'2023-02-28 10:15:21.442332+09:00','2023-02-28 10:15:21.442332+09:00',None,None,None,None,5918177
64233,3,'room_booking',64228,None,None,'2023-02-28 10:15:21.442332+09:00','2023-02-28 10:15:21.442332+09:00',None,None,None,None,5918302
64234,3,'room_booking',64229,None,None,'2023-02-28 10:15:21.442332+09:00','2023-02-28 10:15:21.442332+09:00',None,None,None,None,5918625
64235,3,'room_booking',64230,None,None,'2023-02-28 10:15:26.859944+09:00','2023-02-28 10:15:26.859944+09:00',None,None,None,None,5918878
64236,3,'room_booking',64231,None,None,'2023-02-28 10:15:26.859944+09:00','2023-02-28 10:15:26.859944+09:00',None,None,None,None,5919001
64237,3,'room_booking',64232,None,None,'2023-02-28 10:15:26.859944+09:00','2023-02-28 10:15:26.859944+09:00',None,None,None,None,5919364
64238,3,'room_booking',64233,None,None,'2023-02-28 10:15:26.859944+09:00','2023-02-28 10:15:26.859944+09:00',None,None,None,None,5919488
64239,3,'room_booking',64234,None,None,'2023-02-28 10:15:26.859944+09:00','2023-02-28 10:15:26.859944+09:00',None,None,None,None,5919627
64240,3,'room_booking',64235,None,None,'2023-02-28 10:15:26.859944+09:00','2023-02-28 10:15:26.859944+09:00',None,None,None,None,5919629
64241,3,'room_booking',64236,None,None,'2023-02-28 10:15:26.859944+09:00','2023-02-28 10:15:26.859944+09:00',None,None,None,None,5919742
64242,3,'room_booking',64237,None,None,'2023-02-28 10:15:26.859944+09:00','2023-02-28 10:15:26.859944+09:00',None,None,None,None,5920126
64243,3,'room_booking',64238,None,None,'2023-02-28 10:15:26.859944+09:00','2023-02-28 10:15:26.859944+09:00',None,None,None,None,5920219
64244,3,'room_booking',64239,None,None,'2023-02-28 10:15:26.859944+09:00','2023-02-28 10:15:26.859944+09:00',None,None,None,None,5920359
64245,3,'room_booking',64240,None,None,'2023-02-28 10:15:26.859944+09:00','2023-02-28 10:15:26.859944+09:00',None,None,None,None,5920493
64246,3,'room_booking',64241,None,None,'2023-02-28 10:15:26.859944+09:00','2023-02-28 10:15:26.859944+09:00',None,None,None,None,5920666
64247,3,'room_booking',64242,None,None,'2023-02-28 10:15:26.859944+09:00','2023-02-28 10:15:26.859944+09:00',None,None,None,None,5920668
