id,hotelId,marketingChannelId,representativeGuestId,isReserverTheRepresentative,reserverGuestId,isMultiReservation,memo,isDailyClosing,isMonthlyClosing,otaReservationName,roomTypeGroupCode,planGroupCode,otaPlanCode,otaRoomTypeCode,otaReservationNumber,isNoLinkageSetting,tllDataId,autoGeneratedCode,createdAt,updatedAt,deletedAt,createdBy,updatedBy,deletedBy,inntoDataId,isHaveErrorPrice
64195,3,90,49425,True,49425,True,'mjlv',False,False,None,None,None,None,None,'RYa0ffsjjj@0000000061',False,None,'0003000071','2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,5912741,False
64196,3,93,47899,True,47899,True,'sxy ',False,False,None,None,None,None,None,'2889114287@0000000030',False,None,'0003000072','2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,5912868,False
64197,3,90,48925,True,48925,True,'dmkZ',False,False,None,None,None,None,None,'RYa0ffsm9d@0000000061',False,None,'0003000073','2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,5912869,False
64198,3,90,49649,False,50869,True,'gfei',False,False,None,None,None,None,None,'RYa0ffsmbu@0000000061',False,None,'0003000074','2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,5912871,False
64199,3,93,46622,True,46622,True,'dovy',False,False,None,None,None,None,None,'3312275367@0000000030',False,None,'0003000075','2023-02-28 10:15:10.407584+09:00','2023-02-28 10:15:10.407584+09:00',None,None,None,None,5913227,False
64200,3,92,50130,False,49306,False,'ivne',False,False,None,None,None,None,None,'IY0819589871@0000000080',False,None,'0003000076','2023-02-28 10:15:15.948732+09:00','2023-02-28 10:15:15.948732+09:00',None,None,None,None,5913228,False
64201,3,92,50130,False,49308,True,'u ug',False,False,None,None,None,None,None,'IY0819591843@0000000080',False,None,'0003000077','2023-02-28 10:15:15.948732+09:00','2023-02-28 10:15:15.948732+09:00',None,None,None,None,5913335,False
64202,3,92,50130,False,49309,True,'idxp',False,False,None,None,None,None,None,'IY0819592932@0000000080',False,None,'0003000078','2023-02-28 10:15:15.948732+09:00','2023-02-28 10:15:15.948732+09:00',None,None,None,None,5913336,False
64203,3,90,47967,False,49819,True,'gfrt',False,False,None,None,None,None,None,'RYa0fft1ds@0000000061',False,None,'0003000079','2023-02-28 10:15:15.948732+09:00','2023-02-28 10:15:15.948732+09:00',None,None,None,None,5913754,False
64204,3,90,48918,True,48918,True,'Apdg',False,False,None,None,None,None,None,'RYa0fft5yk@0000000061',False,None,'0003000080','2023-02-28 10:15:15.948732+09:00','2023-02-28 10:15:15.948732+09:00',None,None,None,None,5914068,False
64205,3,90,49360,True,49360,True,'ohbc',False,False,None,None,None,None,None,'RYa0fft831@0000000061',False,None,'0003000081','2023-02-28 10:15:15.948732+09:00','2023-02-28 10:15:15.948732+09:00',None,None,None,None,5914171,False
64206,3,93,46372,False,45762,True,'eb p',False,False,None,None,None,None,None,'2798499795@0000000030',False,None,'0003000082','2023-02-28 10:15:15.948732+09:00','2023-02-28 10:15:15.948732+09:00',None,None,None,None,5914385,False
